,0
roc_auc,0.890946511190573
pr_auc,0.5882876446725429
precision,0.37253937007874016
recall,0.7532338308457711
f1,0.49851827461310505
threshold,0.5
tp,3028.0
fp,5100.0
tn,30880.0
fn,992.0
