model,mean_auc,std_auc,fold_aucs
LogisticRegression,0.8592749284698238,0.0023510262759357573,"[0.8622348090476741, 0.8576963420307278, 0.8555909239240153, 0.8607097157348333, 0.8601428516118684]"
GaussianNB,0.888370906790278,0.0032554036418970668,"[0.8906946679352119, 0.8890071222309355, 0.8820928846595263, 0.8889656567081214, 0.8910942024175952]"
DecisionTree,0.636536366714999,0.004698945021602012,"[0.6355201504949541, 0.6426418454975258, 0.6284241072292788, 0.6389732963863286, 0.637122433966908]"
RandomForest,0.8054349510609382,0.005451303428504779,"[0.8029493794584392, 0.8137314931198067, 0.7972898639100219, 0.8081030713580513, 0.8051009474583724]"
