,roc_auc,pr_auc,f1,recall,precision,threshold,tp,fp,tn,fn
LogisticRegression,0.8598998891036755,0.5004371715496037,0.4184454289166331,0.7753731343283582,0.2865416436845008,0.5,3117.0,7761.0,28219.0,903.0
GaussianNB,0.8882247600242257,0.5768434490863049,0.4662433155080214,0.34701492537313433,0.710285132382892,0.5,1395.0,569.0,35411.0,2625.0
DecisionTree,0.6365885379937445,0.1627253049540606,0.24102393617021275,0.5410447761194029,0.1550470487596236,0.5,2175.0,11853.0,24127.0,1845.0
RandomForest,0.8069967076789483,0.3758368721987551,0.400802549274165,0.4223880597014925,0.38131596676397933,0.5,1698.0,2755.0,33225.0,2322.0
