experiment,roc_auc,pr_auc,f1,recall,precision,n_features,note
E1_raw_200,0.890946511190573,0.5882876446725429,0.49851827461310505,0.7532338308457711,0.37253937007874016,200.0,
E2_raw_plus_freq,0.8995385634362927,0.6236630140768313,0.5159219528676409,0.7597014925373134,0.39058703158971736,400.0,
E3_raw_plus_kmeans,0.8867801349008155,0.5792376666504049,0.45784160386748185,0.8009950248756219,0.32052558232132194,201.0,
E4_raw_plus_gmm,0.8863206894930573,0.5780578202143639,0.46125837459947566,0.7878109452736318,0.32609143327841844,201.0,
E5_raw_plus_anomaly,,,,,,,skipped: anomaly_score_*.npy missing
E6_all_stacked,,,,,,,skipped: dependencies missing
